Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
Matthew 21:12	And Jesus entered into the temple of God, and he cast out all who were selling and buying in the temple, and he overturned the tables of the money changers and the chairs of the vendors of doves.
Matthew 21:13	And he said to them: “It is written: ‘My house shall be called a house of prayer. But you have made it into a den of robbers.’ ”
Matthew 21:14	And the blind and the lame drew near to him in the temple; and he healed them.
Matthew 21:15	Then the leaders of the priests and the scribes became indignant, seeing the miracles that he wrought, and the children crying out in the temple, saying, “Hosanna to the Son of David!”
Matthew 21:16	And they said to him, “Do you hear what these ones are saying?” But Jesus said to them, “Certainly. Have you never read: For out of the mouth of babes and infants, you have perfected praise?”
Matthew 21:17	And leaving them behind, he went out, beyond the city, into Bethania, and he lodged here.
Matthew 21:18	Then, as he was returning to the city in the morning, he was hungry.
Matthew 21:19	And seeing a certain fig tree beside the way, he approached it. And he found nothing on it, except only leaves. And he said to it, “May fruit never spring forth from you, for all time.” And immediately the fig tree was dried up.
Matthew 21:20	And seeing this, the disciples wondered, saying, “How did it dry up so quickly?”
Matthew 21:21	And Jesus responded to them by saying: “Amen I say to you, if you have faith and do not hesitate, not only shall you do this, concerning the fig tree, but even if you would say to this mountain, ‘Take and cast yourself into the sea,’ it shall be done.
Matthew 21:22	And all things whatsoever that you shall ask for in prayer: believing, you shall receive.”
Matthew 21:23	And when he had arrived at the temple, as he was teaching, the leaders of the priests and the elders of the people approached him, saying: “By what authority do you do these things? And who has given this authority to you?”
Matthew 21:24	In response, Jesus said to them: “I also will question you with one word: if you tell me this, I also will tell you by what authority I do these things.
Matthew 21:25	The baptism of John, where was it from? Was it from heaven, or from men?” But they thought within themselves, saying:
Matthew 21:26	“If we say, ‘From heaven,’ he will say to us, ‘Then why did you not believe him?’ But if we say, ‘From men,’ we have the crowd to fear, for they all hold John to be a prophet.”
Matthew 21:27	And so, they answered Jesus by saying, “We do not know.” So he also said to them: “Neither will I tell you by what authority I do these things.
Matthew 21:28	But how does it seem to you? A certain man had two sons. And approaching the first, he said: ‘Son, go out today to work in my vineyard.’
Matthew 21:29	And responding, he said, ‘I am not willing.’ But afterwards, being moved by repentance, he went.
Matthew 21:30	And approaching the other, he spoke similarly. And answering, he said, ‘I am going, lord.’ And he did not go.
Matthew 21:31	Which of the two did the will of the father?” They said to him, “The first.” Jesus said to them: “Amen I say to you, that tax collectors and prostitutes shall precede you, into the kingdom of God.
Matthew 21:32	For John came to you in the way of justice, and you did not believe him. But the tax collectors and the prostitutes believed him. Yet even after seeing this, you did not repent, so as to believe him.
Matthew 21:33	Listen to another parable. There was a man, the father of a family, who planted a vineyard, and surrounded it with a hedge, and dug a press in it, and built a tower. And he loaned it out to farmers, and he set out to sojourn abroad.
Matthew 21:34	Then, when the time of the fruits drew near, he sent his servants to the farmers, so that they might receive its fruits.
Matthew 21:35	And the farmers apprehended his servants; they struck one, and killed another, and stoned yet another.
Matthew 21:36	Again, he sent other servants, more than before; and they treated them similarly.
Matthew 21:37	Then, at the very end, he sent his son to them, saying: ‘They will revere my son.’
Matthew 21:38	But the farmers, seeing the son, said among themselves: ‘This is the heir. Come, let us kill him, and then we will have his inheritance.’
Matthew 21:39	And apprehending him, they cast him outside the vineyard, and they killed him.
Matthew 21:40	Therefore, when the lord of the vineyard arrives, what will he do to those farmers?”
Matthew 21:41	They said to him, “He will bring those evil men to an evil end, and he will loan out his vineyard to other farmers, who shall repay to him the fruit in its time.”
Matthew 21:42	Jesus said to them: “Have you never read in the Scriptures: ‘The stone that the builders have rejected has become the cornerstone. By the Lord has this been done, and it is wonderful in our eyes?’
Matthew 21:43	Therefore, I say to you, that the kingdom of God will be taken away from you, and it shall be given to a people who shall produce its fruits.
Matthew 21:44	And whoever will have fallen on this stone shall be broken, yet truly, on whomever it shall fall, it will crush him.”
Matthew 21:45	And when the leaders of the priests, and the Pharisees had heard his parables, they knew that he was speaking about them.
Matthew 21:46	And though they sought to take hold of him, they feared the crowds, because they held him to be a prophet.
Matthew 22:1	And responding, Jesus again spoke to them in parables, saying:
Matthew 22:2	“The kingdom of heaven is like a man who was king, who celebrated a wedding for his son.
Matthew 22:3	And he sent his servants to call those who were invited to the wedding. But they were not willing to come.
Matthew 22:4	Again, he sent other servants, saying, ‘Tell the invited: Behold, I have prepared my meal. My bulls and fatlings have been killed, and all is ready. Come to the wedding.’
Matthew 22:5	But they ignored this and they went away: one to his country estate, and another to his business.
Matthew 22:6	Yet truly, the rest took hold of his servants and, having treated them with contempt, killed them.
Matthew 22:7	But when the king heard this, he was angry. And sending out his armies, he destroyed those murderers, and he burned their city.
